Name,ReviewCount,Brand,ImageURL,Price,Rating
"Now Foods Aloe Vera Gels, 100 Softgels-3 Pack",1.0,,https://i5.walmartimages.com/asr/9326d7f2-1aeb-405e-abac-0acc2e58f4df_1.6674a607ddca5d7d1c330c6110f5ceaa.jpeg,25.1,5.0
Germa Aloe vera / Sabila 5000mg - 90 Softgels,1.0,germa,https://i5.walmartimages.com/asr/a475459b-6cd1-4c80-9a79-b692b1b23f71_1.5cb32df3afb81d3042b740f9b7d61441.png,8.99,5.0
"OPI Nail Gel Polish GelColor .5oz/15mL 3 CT Combo - Base, Top & Its A Girl! H39",1.0,opi,https://i5.walmartimages.com/asr/44ea3e96-ed42-4348-a1bb-4522bdc2c156_1.4cb94f1f4c5db8f099e0d6963316856e.png,44.95,5.0
Giorgio Armani Emporio Armani Diamonds Eau De Toilette Spray for Men 2.5 oz,1.0,"giorgio, armani",https://i5.walmartimages.com/asr/eea5c90d-1830-4c1e-8155-338a5e9b68f1_1.e87bc8d4ab846841a4d5bdd77850b30b.jpeg,80.27,5.0
"OPI Nail Gel Polish GelColor .5oz/15mL 3 CT Combo - Base, Top & No Turning Back From Pink Street L19",1.0,opi,https://i5.walmartimages.com/asr/248196f4-66d1-4262-b801-e555061273d3_1.c657854443bc9a0f25dc92ccf0104dd1.png,44.95,5.0
"OPI Nail Gel Polish GelColor .5oz/15mL 3 CT Combo - Base, Top & Snow Glad I Met You HP J01",1.0,opi,https://i5.walmartimages.com/asr/deae5aa1-49fb-4a20-8ff2-be98947815e0_1.9c4c48e8ff1942873ca6e48a94c518de.png,44.95,5.0
"OPI Nail Gel Polish GelColor .5oz/15mL 3 CT Combo - Base, Top & Sun, Sea, and Sand in My Pants L23",1.0,opi,https://i5.walmartimages.com/asr/c7ba4815-52f7-4ac8-aee5-e00cdcc1b0c9_1.cf6bf49131e59ad3babbfa38845f91f8.png,44.95,5.0
"OPI Nail Gel Polish GelColor .5oz/15mL 3 CT Combo - Base, Top & Tagus in That Selfie! L18",1.0,opi,https://i5.walmartimages.com/asr/744e869c-3500-49d1-947b-688c147050f9_1.b6c923a140209749a377778c57dce4a0.png,44.95,5.0
"ACT Braces Care Anticavity Mouthwash (18 Oz, Clean Mint)",32.0,act,https://i5.walmartimages.com/asr/a7fa6e41-316f-462b-8a94-11672f45a012.6edbcaff25bf6c50ad5df081f4d54213.jpeg,3.98,5.0
"Good Sense 60-Day Air Care System, Citrus, 2 oz, 6/Carton",1.0,diversey,https://i5.walmartimages.com/asr/025a7068-7bb1-491e-b9ef-f444ba38f719_1.a1f29ce8fdd3a6867b840948f74ca585.jpeg,62.85,5.0
"OPI Nail Lacquer Nail Polish, Go with the Lava Flow",1.0,opi,https://i5.walmartimages.com/asr/6cd23e3d-f3be-4a2b-aebf-c1a078c73fde_1.0adfb12ad98427c6582aebef558445cc.jpeg,8.99,5.0
"OPI Nail Lacquer Nail Polish, Shorts Story",1.0,opi,https://i5.walmartimages.com/asr/7c9a6ccf-4d10-45fc-a818-794e841cdd95_1.4a37242a0c362d24ceedd0f093a80fcc.jpeg,8.1,5.0
